Sex,Age,Height,Weight,NOC,Games,Sport,Medal
M,28.0,175.0,64.0,FIN,1948 Summer,Gymnastics,No_Medal
M,28.0,175.0,64.0,FIN,1948 Summer,Gymnastics,No_Medal
M,28.0,175.0,64.0,FIN,1948 Summer,Gymnastics,Gold
M,32.0,175.0,64.0,FIN,1952 Summer,Gymnastics,No_Medal
M,32.0,175.0,64.0,FIN,1952 Summer,Gymnastics,Bronze
M,32.0,175.0,64.0,FIN,1952 Summer,Gymnastics,No_Medal
M,32.0,175.0,64.0,FIN,1952 Summer,Gymnastics,No_Medal
M,32.0,175.0,64.0,FIN,1952 Summer,Gymnastics,No_Medal
M,32.0,175.0,64.0,FIN,1952 Summer,Gymnastics,No_Medal
M,32.0,175.0,64.0,FIN,1952 Summer,Gymnastics,No_Medal
M,32.0,175.0,64.0,FIN,1952 Summer,Gymnastics,No_Medal
M,31.0,189.0,130.0,FIN,2000 Summer,Athletics,No_Medal
M,20.0,176.0,85.0,NOR,1992 Winter,Alpine Skiing,No_Medal
M,20.0,176.0,85.0,NOR,1992 Winter,Alpine Skiing,Gold
M,20.0,176.0,85.0,NOR,1992 Winter,Alpine Skiing,Bronze
M,20.0,176.0,85.0,NOR,1992 Winter,Alpine Skiing,No_Medal
M,22.0,176.0,85.0,NOR,1994 Winter,Alpine Skiing,Silver
M,22.0,176.0,85.0,NOR,1994 Winter,Alpine Skiing,Bronze
M,22.0,176.0,85.0,NOR,1994 Winter,Alpine Skiing,No_Medal
M,22.0,176.0,85.0,NOR,1994 Winter,Alpine Skiing,No_Medal
M,22.0,176.0,85.0,NOR,1994 Winter,Alpine Skiing,Silver
M,26.0,176.0,85.0,NOR,1998 Winter,Alpine Skiing,No_Medal
M,26.0,176.0,85.0,NOR,1998 Winter,Alpine Skiing,No_Medal
M,26.0,176.0,85.0,NOR,1998 Winter,Alpine Skiing,No_Medal
M,26.0,176.0,85.0,NOR,1998 Winter,Alpine Skiing,No_Medal
M,30.0,176.0,85.0,NOR,2002 Winter,Alpine Skiing,No_Medal
M,30.0,176.0,85.0,NOR,2002 Winter,Alpine Skiing,Gold
M,30.0,176.0,85.0,NOR,2002 Winter,Alpine Skiing,No_Medal
M,30.0,176.0,85.0,NOR,2002 Winter,Alpine Skiing,No_Medal
M,30.0,176.0,85.0,NOR,2002 Winter,Alpine Skiing,Gold
M,34.0,176.0,85.0,NOR,2006 Winter,Alpine Skiing,No_Medal
M,34.0,176.0,85.0,NOR,2006 Winter,Alpine Skiing,Gold
F,22.0,170.0,125.0,ROU,2016 Summer,Weightlifting,No_Medal
M,22.0,187.0,89.0,NOR,2000 Summer,Wrestling,No_Medal
M,26.0,187.0,89.0,NOR,2004 Summer,Wrestling,No_Medal
F,17.0,169.0,65.0,NOR,1984 Winter,Luge,No_Medal
M,43.0,170.0,77.0,NOR,1968 Summer,Sailing,No_Medal
M,47.0,170.0,77.0,NOR,1972 Summer,Sailing,No_Medal
M,26.0,189.0,72.0,NED,1996 Summer,Rowing,Silver
M,30.0,189.0,72.0,NED,2000 Summer,Rowing,No_Medal
M,24.0,174.0,70.0,EST,1936 Summer,Athletics,No_Medal
M,24.0,187.0,76.0,FIN,1992 Summer,Sailing,No_Medal
M,28.0,187.0,76.0,FIN,1996 Summer,Sailing,No_Medal
M,30.0,187.0,76.0,FRA,2012 Summer,Athletics,No_Medal
M,24.0,190.0,98.0,NOR,1998 Winter,Bobsleigh,No_Medal
M,21.0,194.0,78.0,NED,1996 Summer,Swimming,No_Medal
M,21.0,194.0,78.0,NED,1996 Summer,Swimming,No_Medal
M,21.0,194.0,78.0,NED,1996 Summer,Swimming,No_Medal
M,25.0,194.0,78.0,NED,2000 Summer,Swimming,No_Medal
M,25.0,194.0,78.0,NED,2000 Summer,Swimming,No_Medal
F,23.0,182.0,64.0,NOR,1996 Summer,Football,Bronze
M,34.0,185.0,75.0,NOR,1992 Summer,Equestrianism,No_Medal
M,25.0,182.0,73.0,EST,1998 Winter,Cross Country Skiing,No_Medal
M,25.0,182.0,73.0,EST,1998 Winter,Cross Country Skiing,No_Medal
M,29.0,182.0,73.0,EST,2002 Winter,Cross Country Skiing,No_Medal
M,29.0,182.0,73.0,EST,2002 Winter,Cross Country Skiing,No_Medal
M,29.0,182.0,73.0,EST,2002 Winter,Cross Country Skiing,No_Medal
M,33.0,194.0,93.0,NOR,1936 Summer,Shooting,No_Medal
M,45.0,194.0,93.0,NOR,1948 Summer,Shooting,No_Medal
M,49.0,194.0,93.0,NOR,1952 Summer,Shooting,No_Medal
M,53.0,194.0,93.0,NOR,1956 Summer,Shooting,No_Medal
M,57.0,194.0,93.0,NOR,1960 Summer,Shooting,No_Medal
M,22.0,177.0,74.0,NOR,1920 Summer,Athletics,No_Medal
M,22.0,177.0,74.0,NOR,1920 Summer,Athletics,No_Medal
M,26.0,177.0,74.0,NOR,1924 Summer,Athletics,No_Medal
M,30.0,177.0,74.0,NOR,1928 Summer,Athletics,No_Medal
F,24.0,168.0,65.0,EST,2004 Summer,Athletics,No_Medal
F,28.0,168.0,65.0,EST,2008 Summer,Athletics,No_Medal
M,22.0,185.0,106.0,EST,1992 Summer,Wrestling,No_Medal
M,26.0,185.0,106.0,EST,1996 Summer,Wrestling,No_Medal
M,23.0,167.0,64.0,ESP,2016 Summer,Gymnastics,No_Medal
M,23.0,167.0,64.0,ESP,2016 Summer,Gymnastics,No_Medal
M,23.0,167.0,64.0,ESP,2016 Summer,Gymnastics,No_Medal
M,23.0,167.0,64.0,ESP,2016 Summer,Gymnastics,No_Medal
M,23.0,167.0,64.0,ESP,2016 Summer,Gymnastics,No_Medal
M,23.0,167.0,64.0,ESP,2016 Summer,Gymnastics,No_Medal
M,22.0,189.0,80.0,FRA,1976 Summer,Athletics,No_Medal
M,24.0,172.0,58.0,EGY,2000 Summer,Taekwondo,No_Medal
M,26.0,170.0,65.0,ESP,2016 Summer,Athletics,No_Medal
M,24.0,176.0,66.0,BUL,1988 Summer,Boxing,No_Medal
M,24.0,164.0,71.0,BUL,1956 Summer,Weightlifting,No_Medal
M,28.0,164.0,71.0,BUL,1960 Summer,Weightlifting,No_Medal
M,24.0,172.0,75.0,BUL,1960 Summer,Weightlifting,No_Medal
M,26.0,175.0,72.0,BUL,1960 Summer,Football,No_Medal
M,21.0,198.0,90.0,ITA,2016 Summer,Rowing,Bronze
M,30.0,194.0,87.0,ESP,2008 Summer,Fencing,Bronze
F,21.0,165.0,49.0,AZE,2016 Summer,Taekwondo,Bronze
F,22.0,179.0,80.0,RUS,2008 Summer,Athletics,Silver
F,26.0,179.0,80.0,RUS,2012 Summer,Athletics,No_Medal
M,23.0,178.0,76.0,ARG,2000 Summer,Swimming,No_Medal
M,23.0,178.0,76.0,ARG,2000 Summer,Swimming,No_Medal
F,19.0,185.0,72.0,ESP,2008 Summer,Basketball,No_Medal
M,26.0,167.0,65.0,CUB,2000 Summer,Diving,No_Medal
M,27.0,172.0,82.0,CUB,1992 Summer,Canoeing,No_Medal
M,27.0,172.0,82.0,CUB,1992 Summer,Canoeing,No_Medal
M,24.0,180.0,83.0,BLR,2004 Summer,Canoeing,No_Medal
M,28.0,180.0,83.0,BLR,2008 Summer,Canoeing,Gold
M,23.0,182.0,86.0,FRA,2008 Summer,Handball,Gold
M,27.0,182.0,86.0,FRA,2012 Summer,Handball,Gold
M,31.0,182.0,86.0,FRA,2016 Summer,Handball,Silver
F,30.0,182.0,73.0,ARG,2012 Summer,Rowing,No_Medal
M,22.0,178.0,70.0,GRE,2004 Summer,Fencing,No_Medal
M,22.0,185.0,82.0,CMR,2000 Summer,Football,Gold
M,27.0,166.0,75.0,CMR,1968 Summer,Boxing,No_Medal
M,22.0,186.0,83.0,ESP,1996 Summer,Water Polo,Gold
M,22.0,190.0,77.0,GRE,2004 Summer,Football,No_Medal
M,26.0,183.0,75.0,MEX,2000 Summer,Tennis,No_Medal
M,26.0,165.0,55.0,USA,2004 Summer,Wrestling,Silver
M,24.0,181.0,82.0,ESP,1976 Summer,Sailing,No_Medal
M,28.0,181.0,82.0,ESP,1980 Summer,Sailing,Gold
M,32.0,181.0,82.0,ESP,1984 Summer,Sailing,No_Medal
M,22.0,182.0,67.0,ESP,1980 Summer,Athletics,No_Medal
M,26.0,182.0,67.0,ESP,1984 Summer,Athletics,Bronze
M,29.0,188.0,97.0,URS,1964 Summer,Wrestling,No_Medal
F,25.0,168.0,105.0,URS,1980 Summer,Athletics,No_Medal
F,21.0,163.0,60.0,RUS,2004 Summer,Cycling,Silver
F,21.0,163.0,60.0,RUS,2004 Summer,Cycling,No_Medal
M,27.0,190.0,80.0,ITA,2012 Summer,Athletics,No_Medal
M,21.0,180.0,73.0,ITA,2008 Summer,Football,No_Medal
M,34.0,190.0,85.0,FRA,2004 Summer,Handball,No_Medal
M,38.0,190.0,85.0,FRA,2008 Summer,Handball,Gold
F,35.0,155.0,43.0,GRE,2004 Summer,Athletics,No_Medal
M,18.0,168.0,60.0,NCA,2004 Summer,Athletics,No_Medal
M,16.0,180.0,70.0,NCA,1976 Summer,Athletics,No_Medal
M,30.0,169.0,75.0,MEX,1968 Summer,Fencing,No_Medal
M,30.0,169.0,75.0,MEX,1968 Summer,Fencing,No_Medal
M,30.0,169.0,75.0,MEX,1968 Summer,Fencing,No_Medal
M,30.0,181.0,79.0,HUN,1992 Summer,Fencing,Silver
M,25.0,170.0,51.0,NGR,1972 Summer,Boxing,No_Medal
M,19.0,175.0,75.0,ALG,2012 Summer,Boxing,No_Medal
M,23.0,175.0,75.0,ALG,2016 Summer,Boxing,No_Medal
M,22.0,188.0,96.0,ITA,1988 Summer,Rowing,Gold
M,29.0,188.0,96.0,ITA,1996 Summer,Rowing,Gold
M,34.0,188.0,96.0,ITA,2000 Summer,Rowing,Gold
M,22.0,182.0,90.0,ITA,1984 Summer,Rowing,Gold
M,26.0,182.0,90.0,ITA,1988 Summer,Rowing,Gold
M,30.0,182.0,90.0,ITA,1992 Summer,Rowing,Silver
M,34.0,182.0,90.0,ITA,1996 Summer,Rowing,No_Medal
M,20.0,187.0,97.0,ITA,1980 Summer,Rowing,No_Medal
M,25.0,187.0,97.0,ITA,1984 Summer,Rowing,Gold
M,29.0,187.0,97.0,ITA,1988 Summer,Rowing,Gold
M,33.0,187.0,97.0,ITA,1992 Summer,Rowing,Silver
M,23.0,176.0,64.0,KUW,1976 Summer,Athletics,No_Medal
M,23.0,176.0,64.0,KUW,1976 Summer,Athletics,No_Medal
M,27.0,176.0,64.0,KUW,1980 Summer,Athletics,No_Medal
M,20.0,175.0,66.0,BRN,2016 Summer,Athletics,No_Medal
M,22.0,190.0,88.0,PAK,1996 Summer,Athletics,No_Medal
M,21.0,169.0,67.0,IRQ,1964 Summer,Weightlifting,No_Medal
M,22.0,175.0,80.0,IRQ,2004 Summer,Football,No_Medal
M,20.0,160.0,65.0,KUW,1980 Summer,Athletics,No_Medal
M,24.0,181.0,74.0,PAK,1992 Summer,Athletics,No_Medal
M,22.0,178.0,78.0,LIB,1988 Summer,Athletics,No_Medal
M,22.0,178.0,78.0,LIB,1988 Summer,Athletics,No_Medal
M,22.0,165.0,65.0,EGY,2000 Summer,Cycling,No_Medal
M,26.0,170.0,70.0,IRQ,2004 Summer,Swimming,No_Medal
M,23.0,168.0,55.0,PAK,2010 Winter,Alpine Skiing,No_Medal
M,28.0,173.0,77.0,QAT,2004 Summer,Weightlifting,No_Medal
M,25.0,178.0,80.0,PAK,2000 Summer,Hockey,No_Medal
M,29.0,178.0,80.0,PAK,2004 Summer,Hockey,No_Medal
M,37.0,178.0,80.0,PAK,2012 Summer,Hockey,No_Medal
M,28.0,170.0,62.0,MAS,1984 Summer,Hockey,No_Medal
F,20.0,164.0,58.0,IRI,2014 Winter,Alpine Skiing,No_Medal
M,20.0,165.0,60.0,PAK,2004 Summer,Hockey,No_Medal
M,24.0,165.0,60.0,PAK,2008 Summer,Hockey,No_Medal
M,28.0,165.0,60.0,PAK,2012 Summer,Hockey,No_Medal
F,28.0,173.0,60.0,IRI,2012 Summer,Rowing,No_Medal
M,22.0,181.0,74.0,AZE,2008 Summer,Athletics,No_Medal
M,18.0,182.0,76.0,AZE,2008 Summer,Swimming,No_Medal
F,33.0,159.0,53.0,AZE,2000 Summer,Weightlifting,No_Medal
F,28.0,171.0,64.0,ITA,2012 Summer,Water Polo,No_Medal
M,23.0,192.0,90.0,ITA,2000 Summer,Football,No_Medal
F,23.0,178.0,72.0,NED,2016 Summer,Handball,No_Medal
M,29.0,195.0,85.0,ITA,2000 Summer,Basketball,No_Medal
M,15.0,175.0,64.0,ITA,1964 Winter,Figure Skating,No_Medal
M,19.0,175.0,64.0,ITA,1968 Winter,Figure Skating,No_Medal
M,24.0,180.0,104.0,IRQ,2016 Summer,Weightlifting,No_Medal
M,42.0,172.0,80.0,CAN,1996 Summer,Sailing,No_Medal
M,46.0,172.0,80.0,CAN,2000 Summer,Sailing,No_Medal
F,30.0,167.0,58.0,IRL,2016 Summer,Equestrianism,No_Medal
F,30.0,167.0,58.0,IRL,2016 Summer,Equestrianism,No_Medal
M,26.0,183.0,75.0,USA,1928 Summer,Athletics,No_Medal
M,21.0,184.0,87.0,AUS,2008 Summer,Hockey,Bronze
M,23.0,179.0,80.0,RSA,2008 Summer,Hockey,No_Medal
M,24.0,175.0,70.0,USA,2010 Winter,Figure Skating,No_Medal
M,28.0,175.0,70.0,USA,2014 Winter,Figure Skating,No_Medal
M,28.0,175.0,70.0,USA,2014 Winter,Figure Skating,Bronze
M,19.0,179.0,71.0,CAN,1976 Summer,Canoeing,No_Medal
F,41.0,160.0,57.0,CAN,1996 Summer,Sailing,No_Medal
F,21.0,164.0,63.0,CAN,2008 Summer,Sailing,No_Medal
F,30.0,163.0,52.0,USA,2016 Summer,Cycling,No_Medal
M,34.0,185.0,91.0,CAN,2000 Summer,Sailing,No_Medal
F,23.0,191.0,88.0,USA,2008 Summer,Softball,Silver
F,40.0,165.0,57.0,MAR,2008 Summer,Archery,No_Medal
M,22.0,185.0,98.0,EGY,2000 Summer,Wrestling,No_Medal
M,26.0,185.0,98.0,EGY,2004 Summer,Wrestling,No_Medal
M,34.0,185.0,98.0,EGY,2012 Summer,Wrestling,No_Medal
M,23.0,195.0,94.0,EGY,2008 Summer,Volleyball,No_Medal
M,22.0,192.0,83.0,EGY,2004 Summer,Handball,No_Medal
M,26.0,192.0,83.0,EGY,2008 Summer,Handball,No_Medal
F,15.0,167.0,60.0,EGY,2008 Summer,Synchronized Swimming,No_Medal
F,15.0,167.0,60.0,EGY,2008 Summer,Synchronized Swimming,No_Medal
F,19.0,167.0,60.0,EGY,2012 Summer,Synchronized Swimming,No_Medal
M,25.0,163.0,57.0,ERI,2008 Summer,Athletics,No_Medal
M,28.0,203.0,97.0,EGY,2016 Summer,Volleyball,No_Medal
F,20.0,175.0,56.0,USA,2004 Summer,Taekwondo,Silver
M,21.0,168.0,57.0,TAN,1964 Summer,Athletics,No_Medal
M,29.0,168.0,57.0,TAN,1972 Summer,Athletics,No_Medal
M,23.0,169.0,68.0,KUW,1972 Summer,Athletics,No_Medal
F,19.0,158.0,49.0,JOR,1984 Summer,Athletics,No_Medal
F,18.0,172.0,61.0,EGY,2016 Summer,Diving,No_Medal
M,25.0,174.0,70.0,EGY,2000 Summer,Volleyball,No_Medal
M,32.0,168.0,68.0,EGY,2000 Summer,Shooting,No_Medal
M,23.0,174.0,69.0,EGY,2000 Summer,Cycling,No_Medal
M,23.0,180.0,56.0,SUD,1960 Summer,Boxing,No_Medal
M,32.0,180.0,56.0,SUD,1968 Summer,Boxing,No_Medal
F,18.0,154.0,48.0,EGY,2000 Summer,Synchronized Swimming,No_Medal
F,22.0,154.0,48.0,EGY,2004 Summer,Synchronized Swimming,No_Medal
F,18.0,153.0,46.0,EGY,2000 Summer,Synchronized Swimming,No_Medal
M,30.0,186.0,100.0,EGY,2004 Summer,Water Polo,No_Medal
M,32.0,152.0,52.0,EGY,1976 Summer,Weightlifting,No_Medal
M,24.0,193.0,82.0,EGY,1984 Summer,Volleyball,No_Medal
M,25.0,189.0,85.0,EGY,1972 Summer,Basketball,No_Medal
M,24.0,183.0,76.0,TUN,1976 Summer,Handball,No_Medal
M,28.0,172.0,68.0,EGY,1988 Summer,Wrestling,No_Medal
M,23.0,178.0,67.0,EGY,1984 Summer,Basketball,No_Medal
M,27.0,178.0,67.0,EGY,1988 Summer,Basketball,No_Medal
M,25.0,188.0,92.0,EGY,2004 Summer,Water Polo,No_Medal
M,19.0,198.0,80.0,EGY,1972 Summer,Basketball,No_Medal
M,23.0,198.0,80.0,EGY,1976 Summer,Basketball,No_Medal
M,23.0,197.0,87.0,EGY,2008 Summer,Volleyball,No_Medal
M,31.0,197.0,87.0,EGY,2016 Summer,Volleyball,No_Medal
M,21.0,176.0,74.0,LBA,1996 Summer,Athletics,No_Medal
M,27.0,188.0,79.0,EGY,1984 Summer,Volleyball,No_Medal
M,30.0,180.0,120.0,EGY,2008 Summer,Wrestling,No_Medal
M,28.0,170.0,60.0,EGY,2008 Summer,Shooting,No_Medal
M,36.0,170.0,60.0,EGY,2016 Summer,Shooting,No_Medal
M,36.0,170.0,60.0,EGY,2016 Summer,Shooting,No_Medal
M,21.0,190.0,83.0,EGY,2004 Summer,Fencing,No_Medal
M,26.0,190.0,95.0,EGY,2000 Summer,Rowing,No_Medal
M,22.0,165.0,48.0,EGY,2000 Summer,Boxing,No_Medal
M,27.0,195.0,95.0,EGY,2000 Summer,Boxing,No_Medal
M,22.0,157.0,48.0,EGY,1976 Summer,Boxing,No_Medal
F,23.0,165.0,57.0,EGY,2004 Summer,Shooting,No_Medal
F,27.0,165.0,57.0,EGY,2008 Summer,Shooting,No_Medal
F,35.0,165.0,57.0,EGY,2016 Summer,Shooting,No_Medal
M,27.0,188.0,89.0,EGY,2016 Summer,Volleyball,No_Medal
M,24.0,176.0,60.0,EGY,2016 Summer,Boxing,No_Medal
M,26.0,175.0,81.0,EGY,2016 Summer,Judo,No_Medal
M,24.0,173.0,77.0,EGY,2012 Summer,Weightlifting,No_Medal
M,28.0,173.0,77.0,EGY,2016 Summer,Weightlifting,No_Medal
F,17.0,159.0,51.0,EGY,2008 Summer,Synchronized Swimming,No_Medal
M,21.0,170.0,58.0,SUD,2008 Summer,Athletics,No_Medal
M,21.0,170.0,94.0,EGY,2012 Summer,Weightlifting,No_Medal
M,25.0,170.0,94.0,EGY,2016 Summer,Weightlifting,No_Medal
M,36.0,170.0,70.0,EGY,2004 Summer,Shooting,No_Medal
M,40.0,170.0,70.0,EGY,2008 Summer,Shooting,No_Medal
M,23.0,184.0,68.0,ALG,2016 Summer,Football,No_Medal
F,19.0,160.0,46.0,EGY,2016 Summer,Synchronized Swimming,No_Medal
M,23.0,170.0,60.0,EGY,2012 Summer,Wrestling,No_Medal
M,20.0,165.0,60.0,EGY,2016 Summer,Judo,No_Medal
M,23.0,194.0,96.0,EGY,2012 Summer,Athletics,No_Medal
M,22.0,167.0,63.0,EGY,2000 Summer,Gymnastics,No_Medal
M,22.0,167.0,63.0,EGY,2000 Summer,Gymnastics,No_Medal
M,22.0,167.0,63.0,EGY,2000 Summer,Gymnastics,No_Medal
M,22.0,167.0,63.0,EGY,2000 Summer,Gymnastics,No_Medal
M,22.0,167.0,63.0,EGY,2000 Summer,Gymnastics,No_Medal
M,26.0,207.0,90.0,EGY,2016 Summer,Volleyball,No_Medal
M,24.0,170.0,63.0,ALG,1980 Summer,Athletics,No_Medal
M,19.0,170.0,63.0,ALG,1988 Summer,Athletics,No_Medal
M,23.0,170.0,63.0,ALG,1992 Summer,Athletics,No_Medal
F,22.0,173.0,60.0,ALG,2008 Summer,Volleyball,No_Medal
F,26.0,173.0,60.0,ALG,2012 Summer,Volleyball,No_Medal
M,22.0,170.0,80.0,IRI,2012 Summer,Wrestling,No_Medal
M,26.0,170.0,80.0,IRI,2016 Summer,Wrestling,Bronze
M,27.0,176.0,56.0,BEL,2016 Summer,Athletics,No_Medal
M,27.0,176.0,56.0,BEL,2016 Summer,Athletics,No_Medal
M,30.0,178.0,66.0,AUS,2008 Summer,Athletics,No_Medal
M,34.0,178.0,66.0,AUS,2012 Summer,Athletics,No_Medal
M,19.0,177.0,65.0,QAT,1992 Summer,Athletics,No_Medal
M,23.0,177.0,65.0,QAT,1996 Summer,Athletics,No_Medal
M,21.0,170.0,57.0,DJI,1988 Summer,Athletics,No_Medal
M,25.0,170.0,57.0,DJI,1992 Summer,Athletics,No_Medal
M,23.0,178.0,61.0,USA,2000 Summer,Athletics,No_Medal
M,27.0,178.0,61.0,USA,2004 Summer,Athletics,No_Medal
M,31.0,178.0,61.0,USA,2008 Summer,Athletics,No_Medal
M,35.0,178.0,61.0,USA,2012 Summer,Athletics,No_Medal
M,19.0,169.0,74.0,AUS,2000 Summer,Wrestling,No_Medal
M,23.0,169.0,74.0,AUS,2004 Summer,Wrestling,No_Medal
M,27.0,169.0,74.0,AUS,2008 Summer,Wrestling,No_Medal
F,21.0,173.0,59.0,CAN,1984 Summer,Swimming,No_Medal
F,21.0,173.0,59.0,CAN,1984 Summer,Swimming,No_Medal
F,21.0,173.0,59.0,CAN,1984 Summer,Swimming,Bronze
M,24.0,183.0,75.0,IRI,1976 Summer,Football,No_Medal
M,26.0,176.0,60.0,CMR,2012 Summer,Boxing,No_Medal
M,23.0,185.0,67.0,COM,1996 Summer,Athletics,No_Medal
M,29.0,175.0,85.0,CAN,2000 Summer,Wrestling,No_Medal
M,22.0,165.0,60.0,EGY,2004 Summer,Modern Pentathlon,No_Medal
M,19.0,180.0,76.0,EGY,1988 Summer,Modern Pentathlon,No_Medal
M,19.0,180.0,76.0,EGY,1988 Summer,Modern Pentathlon,No_Medal
M,23.0,180.0,76.0,EGY,1992 Summer,Modern Pentathlon,No_Medal
M,23.0,180.0,76.0,EGY,1992 Summer,Modern Pentathlon,No_Medal
F,27.0,180.0,67.0,CMR,2016 Summer,Volleyball,No_Medal
M,23.0,188.0,78.0,EGY,1988 Summer,Basketball,No_Medal
M,30.0,165.0,60.0,KAZ,2016 Summer,Boxing,No_Medal
F,17.0,147.0,50.0,BRU,2016 Summer,Athletics,No_Medal
M,24.0,184.0,70.0,IRQ,1980 Summer,Athletics,No_Medal
M,22.0,180.0,73.0,KUW,2000 Summer,Football,No_Medal
M,24.0,163.0,61.0,MAS,1996 Summer,Hockey,No_Medal
M,28.0,163.0,61.0,MAS,2000 Summer,Hockey,No_Medal
F,19.0,160.0,53.0,EGY,2000 Summer,Table Tennis,No_Medal
F,19.0,160.0,53.0,EGY,2000 Summer,Table Tennis,No_Medal
F,27.0,160.0,53.0,EGY,2008 Summer,Table Tennis,No_Medal
M,23.0,172.0,90.0,BRU,1996 Summer,Shooting,No_Medal
M,27.0,172.0,90.0,BRU,2000 Summer,Shooting,No_Medal
M,19.0,175.0,55.0,SUD,2000 Summer,Swimming,No_Medal
M,30.0,180.0,117.5,IRQ,1960 Summer,Weightlifting,No_Medal
M,34.0,180.0,117.5,IRQ,1964 Summer,Weightlifting,No_Medal
M,22.0,169.0,65.0,KSA,1984 Summer,Football,No_Medal
M,23.0,169.0,60.0,KUW,1976 Summer,Athletics,No_Medal
M,23.0,169.0,60.0,KUW,1976 Summer,Athletics,No_Medal
M,20.0,156.0,59.0,IRQ,1960 Summer,Boxing,No_Medal
M,17.0,176.0,68.0,QAT,1992 Summer,Athletics,No_Medal
M,17.0,168.0,54.0,MDV,1988 Summer,Athletics,No_Medal
M,26.0,172.0,70.0,KSA,1984 Summer,Football,No_Medal
M,34.0,178.0,74.0,IRI,1976 Summer,Water Polo,No_Medal
M,30.0,175.0,80.0,JOR,1984 Summer,Shooting,No_Medal
M,29.0,174.0,55.0,ETH,1972 Summer,Cycling,No_Medal
M,24.0,173.0,64.0,MAS,1968 Summer,Athletics,No_Medal
M,38.0,169.0,91.0,PAK,1960 Summer,Hockey,Gold
M,23.0,181.0,72.0,PAK,1964 Summer,Hockey,Silver
F,22.0,163.0,56.0,IRQ,2008 Summer,Athletics,No_Medal
F,26.0,163.0,56.0,IRQ,2012 Summer,Athletics,No_Medal
M,24.0,180.0,72.0,KSA,1984 Summer,Football,No_Medal
F,32.0,158.0,58.0,INA,2004 Summer,Weightlifting,No_Medal
M,21.0,185.0,80.0,IRQ,2004 Summer,Football,No_Medal
M,22.0,175.0,75.0,IRQ,2004 Summer,Football,No_Medal
M,21.0,172.0,66.0,NGR,1968 Summer,Athletics,No_Medal
M,21.0,172.0,66.0,NGR,1968 Summer,Athletics,No_Medal
M,25.0,172.0,66.0,NGR,1972 Summer,Athletics,No_Medal
M,25.0,172.0,66.0,NGR,1972 Summer,Athletics,No_Medal
F,22.0,180.0,59.0,CAN,2008 Summer,Athletics,No_Medal
F,26.0,166.0,61.0,EGY,2012 Summer,Fencing,No_Medal
M,26.0,160.0,62.0,URS,1972 Summer,Wrestling,Gold
