Sex,Age,Height,Weight,NOC,Games,Sport,Medal
M,30.0,182.0,90.0,ITA,1992 Summer,Rowing,Silver
M,25.0,187.0,97.0,ITA,1984 Summer,Rowing,Gold
M,29.0,187.0,97.0,ITA,1988 Summer,Rowing,Gold
M,33.0,187.0,97.0,ITA,1992 Summer,Rowing,Silver
M,21.0,184.0,87.0,AUS,2008 Summer,Hockey,Bronze
M,28.0,175.0,70.0,USA,2014 Winter,Figure Skating,Bronze
F,23.0,191.0,88.0,USA,2008 Summer,Softball,Silver
F,20.0,175.0,56.0,USA,2004 Summer,Taekwondo,Silver
M,26.0,170.0,80.0,IRI,2016 Summer,Wrestling,Bronze
F,21.0,173.0,59.0,CAN,1984 Summer,Swimming,Bronze
M,38.0,169.0,91.0,PAK,1960 Summer,Hockey,Gold
M,23.0,181.0,72.0,PAK,1964 Summer,Hockey,Silver
M,26.0,160.0,62.0,URS,1972 Summer,Wrestling,Gold
M,26.0,169.0,63.0,UZB,2000 Summer,Boxing,Gold
M,25.0,167.0,55.0,AZE,1996 Summer,Wrestling,Silver
M,29.0,167.0,55.0,AZE,2000 Summer,Wrestling,Gold
M,23.0,202.0,104.0,USA,2000 Summer,Basketball,Gold
M,30.0,170.0,84.0,TJK,2008 Summer,Wrestling,Silver
M,26.0,190.0,125.0,EUN,1992 Summer,Athletics,Gold
M,28.0,175.0,64.0,JPN,1994 Winter,Nordic Combined,Gold
M,21.0,160.0,50.0,ETH,1992 Summer,Athletics,Bronze
M,23.0,185.0,102.0,USA,1924 Winter,Ice Hockey,Silver
F,19.0,160.0,48.0,GDR,1972 Summer,Gymnastics,Silver
F,20.0,160.0,62.0,CAN,2012 Summer,Diving,Bronze
M,22.0,166.0,58.0,ETH,2000 Summer,Athletics,Gold
M,19.0,181.0,78.0,SWE,1912 Summer,Athletics,Bronze
M,19.0,181.0,78.0,SWE,1912 Summer,Athletics,Silver
M,22.0,182.0,84.0,USA,2000 Summer,Baseball,Gold
F,25.0,159.0,40.0,TUR,2008 Summer,Athletics,Silver
M,29.0,172.0,82.0,BUL,1980 Summer,Wrestling,Gold
M,19.0,182.0,68.0,USA,1932 Summer,Athletics,Gold
M,19.0,161.0,62.0,RUS,2012 Summer,Gymnastics,Bronze
M,19.0,161.0,62.0,RUS,2012 Summer,Gymnastics,Silver
M,24.0,161.0,62.0,RUS,2016 Summer,Gymnastics,Silver
M,24.0,161.0,62.0,RUS,2016 Summer,Gymnastics,Silver
M,24.0,161.0,62.0,RUS,2016 Summer,Gymnastics,Bronze
M,22.0,190.0,78.0,URS,1972 Summer,Swimming,Silver
M,22.0,190.0,78.0,URS,1972 Summer,Swimming,Bronze
M,30.0,197.0,92.0,AUS,2016 Summer,Swimming,Bronze
M,21.0,188.0,87.0,EGY,2012 Summer,Fencing,Silver
M,21.0,192.0,88.0,HUN,1988 Summer,Canoeing,Bronze
M,21.0,192.0,88.0,HUN,1988 Summer,Canoeing,Gold
M,25.0,192.0,88.0,HUN,1992 Summer,Canoeing,Silver
M,21.0,175.0,64.0,GBR,1980 Summer,Swimming,Bronze
M,29.0,191.0,84.0,SWE,2004 Summer,Wrestling,Silver
M,24.0,183.0,75.0,GBR,1924 Summer,Athletics,Gold
M,24.0,183.0,75.0,GBR,1924 Summer,Athletics,Silver
M,22.0,172.0,61.0,SWE,1920 Summer,Athletics,Bronze
M,25.0,198.0,89.0,RUS,2004 Summer,Volleyball,Bronze
F,24.0,171.0,60.0,URS,1964 Summer,Volleyball,Silver
F,23.0,167.0,65.0,RUS,2006 Winter,Speed Skating,Bronze
M,23.0,198.0,93.0,ESP,2016 Summer,Basketball,Bronze
F,28.0,188.0,77.0,RUS,2008 Summer,Basketball,Bronze
M,22.0,168.0,68.0,URS,1980 Summer,Wrestling,Gold
M,23.0,180.0,68.0,FRA,2004 Summer,Cycling,Gold
M,27.0,180.0,68.0,FRA,2008 Summer,Cycling,Gold
M,20.0,178.0,68.0,JOR,2016 Summer,Taekwondo,Gold
F,26.0,148.0,46.0,JPN,1964 Summer,Gymnastics,Bronze
M,25.0,189.0,81.0,URS,1980 Summer,Fencing,Bronze
M,20.0,170.0,62.0,URS,1980 Summer,Wrestling,Gold
F,16.0,150.0,40.0,ROU,2008 Summer,Gymnastics,Bronze
M,24.0,194.0,104.0,FRA,2012 Summer,Handball,Gold
M,20.0,176.0,82.0,SUI,1988 Winter,Alpine Skiing,Bronze
M,21.0,176.0,67.0,PUR,1992 Summer,Boxing,Bronze
M,19.0,158.0,52.0,MEX,1984 Summer,Wrestling,Silver
M,18.0,181.0,73.0,GHA,1992 Summer,Football,Bronze
M,24.0,176.0,75.0,SUI,1984 Summer,Cycling,Silver
M,29.0,165.0,54.0,MAR,1988 Summer,Boxing,Bronze
M,27.0,174.0,57.0,MAR,1992 Summer,Boxing,Bronze
F,30.0,168.0,63.0,URS,1968 Winter,Cross Country Skiing,Bronze
F,27.0,172.0,72.0,NED,2012 Summer,Rowing,Bronze
F,31.0,172.0,72.0,NED,2016 Summer,Rowing,Silver
M,27.0,179.0,68.0,NZL,1976 Summer,Hockey,Gold
M,24.0,184.0,69.0,GER,2002 Winter,Nordic Combined,Silver
M,24.0,184.0,69.0,GER,2002 Winter,Nordic Combined,Silver
M,28.0,184.0,69.0,GER,2006 Winter,Nordic Combined,Silver
M,26.0,190.0,99.0,SUI,1992 Winter,Bobsleigh,Gold
M,26.0,190.0,99.0,SUI,1992 Winter,Bobsleigh,Bronze
M,28.0,190.0,99.0,SUI,1994 Winter,Bobsleigh,Gold
M,28.0,190.0,99.0,SUI,1994 Winter,Bobsleigh,Silver
M,24.0,200.0,104.0,SUI,1994 Winter,Bobsleigh,Silver
M,20.0,168.0,72.0,ARG,2008 Summer,Football,Gold
M,23.0,188.0,91.0,CUB,2008 Summer,Boxing,Bronze
M,23.0,162.0,60.0,POL,1980 Summer,Boxing,Bronze
M,25.0,187.0,83.0,TCH,1976 Summer,Modern Pentathlon,Silver
M,24.0,175.0,95.0,CAN,2006 Winter,Curling,Gold
M,22.0,179.0,78.0,POL,1992 Summer,Football,Silver
M,22.0,188.0,78.0,USA,1912 Summer,Athletics,Silver
M,22.0,188.0,78.0,USA,1912 Summer,Athletics,Bronze
M,21.0,178.0,78.0,GBR,1980 Summer,Judo,Silver
M,25.0,178.0,78.0,GBR,1984 Summer,Judo,Silver
F,29.0,164.0,51.0,GBR,2012 Summer,Boxing,Gold
F,33.0,164.0,51.0,GBR,2016 Summer,Boxing,Gold
M,27.0,188.0,78.0,USA,1912 Summer,Athletics,Gold
M,27.0,188.0,78.0,USA,1912 Summer,Athletics,Silver
F,26.0,188.0,81.0,USA,2016 Summer,Volleyball,Bronze
F,24.0,164.0,69.0,GBR,2014 Winter,Curling,Bronze
F,23.0,193.0,120.0,NZL,2008 Summer,Athletics,Gold
F,27.0,193.0,120.0,NZL,2012 Summer,Athletics,Gold
F,31.0,193.0,120.0,NZL,2016 Summer,Athletics,Silver
M,29.0,189.0,87.0,GER,2012 Summer,Rowing,Gold
M,23.0,171.0,58.0,POL,1960 Summer,Boxing,Silver
M,17.0,180.0,79.0,GHA,1992 Summer,Football,Bronze
M,22.0,181.0,82.0,NGR,2008 Summer,Football,Silver
M,19.0,190.0,80.0,NGR,2008 Summer,Football,Silver
M,24.0,179.0,74.0,BRA,1984 Summer,Football,Silver
M,28.0,179.0,74.0,BRA,1988 Summer,Football,Silver
M,22.0,186.0,78.0,NGR,1992 Summer,Athletics,Silver
F,25.0,187.0,65.0,BRA,2012 Summer,Volleyball,Gold
M,23.0,180.0,70.0,FRA,1992 Summer,Canoeing,Bronze
M,26.0,180.0,70.0,FRA,1996 Summer,Canoeing,Gold
M,27.0,190.0,110.0,GER,2010 Winter,Bobsleigh,Silver
M,26.0,188.0,80.0,USA,1996 Summer,Athletics,Gold
M,26.0,180.0,72.0,BRA,1984 Summer,Sailing,Silver
M,23.0,172.0,62.0,GER,1960 Summer,Cycling,Silver
F,19.0,179.0,70.0,GBR,2008 Summer,Swimming,Gold
F,19.0,179.0,70.0,GBR,2008 Summer,Swimming,Gold
F,23.0,179.0,70.0,GBR,2012 Summer,Swimming,Bronze
F,23.0,179.0,70.0,GBR,2012 Summer,Swimming,Bronze
M,26.0,202.0,100.0,LTU,2000 Summer,Basketball,Bronze
M,19.0,198.0,100.0,USA,2008 Summer,Swimming,Gold
M,23.0,198.0,100.0,USA,2012 Summer,Swimming,Gold
M,23.0,198.0,100.0,USA,2012 Summer,Swimming,Silver
M,23.0,198.0,100.0,USA,2012 Summer,Swimming,Gold
M,27.0,198.0,100.0,USA,2016 Summer,Swimming,Bronze
M,27.0,198.0,100.0,USA,2016 Summer,Swimming,Bronze
M,27.0,198.0,100.0,USA,2016 Summer,Swimming,Gold
M,27.0,198.0,100.0,USA,2016 Summer,Swimming,Gold
F,25.0,180.0,61.0,BRA,1996 Summer,Basketball,Silver
F,29.0,180.0,61.0,BRA,2000 Summer,Basketball,Bronze
F,21.0,170.0,65.0,BRA,2000 Summer,Basketball,Bronze
M,30.0,189.0,87.0,HUN,1996 Summer,Canoeing,Silver
M,24.0,189.0,82.0,GER,1964 Summer,Rowing,Silver
F,20.0,158.0,48.0,RUS,2012 Summer,Gymnastics,Silver
M,22.0,183.0,88.0,RUS,2002 Winter,Ice Hockey,Bronze
F,20.0,180.0,62.0,NGR,1996 Summer,Athletics,Silver
F,22.0,178.0,70.0,ROU,1976 Summer,Rowing,Bronze
M,28.0,175.0,75.0,RSA,2016 Summer,Rugby Sevens,Bronze
M,25.0,173.0,76.0,PAK,1964 Summer,Hockey,Silver
M,27.0,193.0,104.0,RSA,2016 Summer,Rugby Sevens,Bronze
F,16.0,148.0,40.0,ROU,1984 Summer,Gymnastics,Gold
F,16.0,148.0,40.0,ROU,1984 Summer,Gymnastics,Bronze
M,24.0,187.0,93.0,ITA,2004 Summer,Rowing,Bronze
M,27.0,187.0,93.0,ITA,2008 Summer,Rowing,Silver
M,26.0,180.0,80.0,USA,1996 Summer,Tennis,Gold
F,23.0,164.0,66.0,FRA,2016 Summer,Judo,Silver
M,20.0,184.0,80.0,URS,1956 Summer,Water Polo,Bronze
M,24.0,184.0,80.0,URS,1960 Summer,Water Polo,Silver
M,28.0,184.0,80.0,URS,1964 Summer,Water Polo,Bronze
F,29.0,172.0,58.0,NED,2008 Summer,Hockey,Gold
F,33.0,172.0,58.0,NED,2012 Summer,Hockey,Gold
M,20.0,202.0,90.0,FRA,2012 Summer,Swimming,Gold
M,20.0,202.0,90.0,FRA,2012 Summer,Swimming,Gold
M,20.0,202.0,90.0,FRA,2012 Summer,Swimming,Silver
F,18.0,168.0,67.0,CAN,2006 Winter,Ice Hockey,Gold
F,23.0,168.0,67.0,CAN,2010 Winter,Ice Hockey,Gold
F,26.0,168.0,67.0,CAN,2014 Winter,Ice Hockey,Gold
M,24.0,178.0,75.0,USA,2006 Winter,Figure Skating,Silver
F,27.0,164.0,62.0,HUN,1964 Summer,Fencing,Gold
M,20.0,172.0,74.0,ARG,2008 Summer,Football,Gold
F,23.0,175.0,70.0,CUB,2000 Summer,Volleyball,Gold
M,20.0,173.0,64.0,CUB,1980 Summer,Boxing,Bronze
F,27.0,170.0,67.0,ESP,2012 Summer,Handball,Bronze
F,23.0,167.0,50.0,ESP,2016 Summer,Rhythmic Gymnastics,Silver
M,26.0,172.0,64.0,CUB,1992 Summer,Athletics,Bronze
F,21.0,147.0,47.0,INA,2016 Summer,Weightlifting,Silver
F,32.0,172.0,67.0,USA,2008 Summer,Volleyball,Silver
M,23.0,175.0,73.0,USA,1972 Winter,Ice Hockey,Silver
M,22.0,170.0,57.0,GBR,1908 Summer,Athletics,Gold
M,21.0,168.0,69.5,FIN,1932 Summer,Boxing,Bronze
M,32.0,179.0,78.0,SWE,1980 Winter,Ice Hockey,Bronze
F,27.0,177.0,75.0,SWE,2002 Winter,Ice Hockey,Bronze
M,24.0,182.0,90.0,SWE,1984 Winter,Ice Hockey,Bronze
M,29.0,189.0,80.0,GER,2004 Summer,Equestrianism,Bronze
M,41.0,189.0,80.0,GER,2016 Summer,Equestrianism,Bronze
M,29.0,179.0,72.0,INA,2016 Summer,Badminton,Gold
M,23.0,176.0,64.0,SWE,1948 Summer,Athletics,Gold
M,34.0,190.0,88.0,GER,2000 Summer,Beach Volleyball,Bronze
F,22.0,172.0,52.0,USA,1992 Summer,Swimming,Gold
F,22.0,172.0,52.0,USA,1992 Summer,Swimming,Silver
F,22.0,172.0,52.0,USA,1992 Summer,Swimming,Gold
M,21.0,162.0,62.0,PAK,1968 Summer,Hockey,Gold
M,25.0,171.0,67.0,PAK,1960 Summer,Hockey,Gold
M,21.0,170.0,62.0,PAK,1984 Summer,Hockey,Gold
M,24.0,169.0,75.0,PAK,1992 Summer,Hockey,Bronze
M,28.0,170.0,70.0,PAK,1984 Summer,Hockey,Gold
M,27.0,173.0,61.0,PAK,1960 Summer,Hockey,Gold
M,27.0,150.0,70.0,PAK,1968 Summer,Hockey,Gold
M,30.0,150.0,70.0,PAK,1972 Summer,Hockey,Silver
M,23.0,175.0,61.0,PAK,1992 Summer,Hockey,Bronze
M,24.0,184.0,66.0,FIN,2002 Winter,Ski Jumping,Silver
M,28.0,184.0,66.0,FIN,2006 Winter,Ski Jumping,Silver
M,30.0,169.0,66.0,GER,1964 Summer,Sailing,Silver
F,23.0,178.0,85.0,GDR,1976 Summer,Rowing,Gold
M,28.0,195.0,97.0,USA,2004 Summer,Rowing,Gold
F,23.0,176.0,70.0,CHI,1956 Summer,Athletics,Silver
M,16.0,163.0,50.0,GER,1964 Summer,Rowing,Silver
M,26.0,192.0,102.0,ITA,2012 Summer,Water Polo,Silver
M,30.0,192.0,102.0,ITA,2016 Summer,Water Polo,Bronze
F,26.0,165.0,60.0,ARG,2000 Summer,Hockey,Silver
F,30.0,165.0,60.0,ARG,2004 Summer,Hockey,Bronze
F,34.0,165.0,60.0,ARG,2008 Summer,Hockey,Bronze
F,27.0,172.0,74.0,ITA,2016 Summer,Water Polo,Silver
M,23.0,183.0,75.0,GER,2012 Summer,Canoeing,Bronze
M,21.0,154.0,53.0,JPN,1956 Summer,Gymnastics,Silver
M,21.0,154.0,53.0,JPN,1956 Summer,Gymnastics,Silver
M,25.0,154.0,53.0,JPN,1960 Summer,Gymnastics,Gold
M,25.0,154.0,53.0,JPN,1960 Summer,Gymnastics,Gold
M,21.0,156.0,55.0,JPN,1992 Summer,Gymnastics,Bronze
M,28.0,183.0,85.0,JPN,2004 Summer,Baseball,Bronze
M,19.0,183.0,90.0,GBR,1996 Summer,Sailing,Silver
M,23.0,183.0,90.0,GBR,2000 Summer,Sailing,Gold
M,27.0,183.0,90.0,GBR,2004 Summer,Sailing,Gold
M,31.0,183.0,90.0,GBR,2008 Summer,Sailing,Gold
M,35.0,183.0,90.0,GBR,2012 Summer,Sailing,Gold
M,22.0,187.0,84.0,USA,2000 Summer,Baseball,Gold
M,34.0,185.0,85.0,GBR,1968 Summer,Sailing,Bronze
M,21.0,173.0,65.0,AUS,1992 Summer,Cycling,Silver
M,25.0,173.0,65.0,AUS,1996 Summer,Cycling,Bronze
M,29.0,173.0,65.0,AUS,2000 Summer,Cycling,Gold
M,35.0,177.0,88.0,UKR,2008 Summer,Shooting,Gold
F,17.0,167.0,45.0,GRE,2000 Summer,Rhythmic Gymnastics,Bronze
M,20.0,172.0,79.0,NGR,2016 Summer,Football,Bronze
M,27.0,175.0,93.0,CUB,1992 Summer,Baseball,Gold
M,31.0,175.0,93.0,CUB,1996 Summer,Baseball,Gold
M,35.0,175.0,93.0,CUB,2000 Summer,Baseball,Silver
M,23.0,185.0,75.0,NGR,2008 Summer,Football,Silver
M,20.0,180.0,62.0,CAN,2016 Summer,Athletics,Bronze
F,24.0,164.0,57.0,NGR,1996 Summer,Athletics,Gold
M,25.0,185.0,81.0,GBR,1984 Summer,Athletics,Silver
M,33.0,185.0,81.0,GBR,1992 Summer,Athletics,Bronze
M,33.0,185.0,81.0,GBR,1992 Summer,Athletics,Bronze
M,19.0,172.0,74.0,JPN,1984 Summer,Wrestling,Silver
M,27.0,172.0,74.0,JPN,1992 Summer,Wrestling,Bronze
M,24.0,169.0,64.0,JPN,1992 Winter,Short Track Speed Skating,Bronze
M,23.0,168.0,62.0,TUR,1972 Summer,Wrestling,Silver
F,30.0,178.0,68.0,USA,1996 Summer,Football,Gold
M,25.0,192.0,125.0,TUR,2016 Summer,Wrestling,Gold
F,18.0,181.0,80.0,URS,1980 Summer,Volleyball,Gold
F,21.0,160.0,55.0,RUS,1998 Winter,Biathlon,Silver
F,25.0,160.0,55.0,RUS,2002 Winter,Biathlon,Bronze
F,29.0,160.0,55.0,RUS,2006 Winter,Biathlon,Bronze
F,29.0,160.0,55.0,RUS,2006 Winter,Biathlon,Bronze
F,29.0,160.0,55.0,RUS,2006 Winter,Biathlon,Gold
M,21.0,165.0,56.0,UZB,2016 Summer,Boxing,Bronze
M,28.0,187.0,79.0,RUS,2016 Summer,Fencing,Gold
M,21.0,190.0,120.0,RUS,2008 Summer,Wrestling,Silver
M,34.0,184.0,87.0,BUL,1964 Summer,Wrestling,Silver
F,23.0,160.0,52.0,URS,1980 Summer,Hockey,Bronze
M,26.0,180.0,79.0,URS,1960 Summer,Rowing,Bronze
M,25.0,172.0,61.0,PAK,1968 Summer,Hockey,Gold
M,23.0,173.0,65.0,PAK,1984 Summer,Hockey,Gold
M,22.0,188.0,77.0,UGA,1972 Summer,Athletics,Gold
M,24.0,181.0,84.0,URS,1972 Summer,Water Polo,Gold
M,27.0,184.0,80.0,URS,1980 Summer,Water Polo,Gold
F,22.0,163.0,61.0,USA,2016 Summer,Athletics,Gold
F,24.0,191.0,79.0,USA,2012 Summer,Volleyball,Silver
F,28.0,191.0,79.0,USA,2016 Summer,Volleyball,Bronze
M,19.0,178.0,105.0,RUS,2004 Summer,Weightlifting,Silver
M,23.0,178.0,105.0,RUS,2008 Summer,Weightlifting,Bronze
F,25.0,165.0,57.0,RUS,2000 Summer,Water Polo,Bronze
M,30.0,187.0,80.0,NGR,2016 Summer,Football,Bronze
F,26.0,183.0,74.0,USA,2016 Summer,Fencing,Bronze
F,29.0,165.0,58.0,URS,1976 Summer,Athletics,Bronze
M,21.0,173.0,67.0,URS,1976 Summer,Athletics,Bronze
M,25.0,173.0,67.0,URS,1980 Summer,Athletics,Gold
M,26.0,201.0,100.0,RUS,1996 Summer,Rowing,Bronze
F,17.0,174.0,62.0,URS,1980 Summer,Swimming,Bronze
M,23.0,192.0,88.0,URS,1976 Summer,Sailing,Silver
M,22.0,187.0,81.0,SYR,2004 Summer,Boxing,Bronze
M,41.0,178.0,82.0,QAT,2012 Summer,Shooting,Bronze
M,33.0,178.0,95.0,KUW,2000 Summer,Shooting,Bronze
M,45.0,178.0,95.0,KUW,2012 Summer,Shooting,Bronze
M,49.0,178.0,95.0,IOA,2016 Summer,Shooting,Gold
M,40.0,162.0,70.0,KSA,2012 Summer,Equestrianism,Bronze
M,31.0,175.0,57.0,KSA,2000 Summer,Equestrianism,Bronze
M,25.0,170.0,63.0,PAK,1984 Summer,Hockey,Gold
M,40.0,175.0,67.0,UAE,2004 Summer,Shooting,Gold
M,52.0,183.0,83.0,IOA,2016 Summer,Shooting,Bronze
M,27.0,178.0,69.0,KSA,2012 Summer,Equestrianism,Bronze
M,23.0,191.0,72.0,KSA,2000 Summer,Athletics,Silver
F,26.0,164.0,55.0,ESP,2012 Summer,Sailing,Gold
M,33.0,176.0,74.0,URS,1964 Summer,Basketball,Silver
M,23.0,154.0,52.0,URS,1972 Summer,Wrestling,Silver
M,26.0,172.0,73.0,PAK,1956 Summer,Hockey,Silver
M,30.0,172.0,73.0,PAK,1960 Summer,Hockey,Gold
M,25.0,190.0,81.0,CRO,1992 Summer,Basketball,Silver
M,22.0,182.0,85.0,FIN,1994 Winter,Ice Hockey,Bronze
M,30.0,174.0,67.0,FIN,1960 Winter,Cross Country Skiing,Gold
M,25.0,179.0,80.0,ITA,1968 Summer,Sailing,Bronze
M,31.0,187.0,84.0,ITA,1992 Winter,Cross Country Skiing,Silver
M,31.0,187.0,84.0,ITA,1992 Winter,Cross Country Skiing,Silver
M,33.0,187.0,84.0,ITA,1994 Winter,Cross Country Skiing,Bronze
M,33.0,187.0,84.0,ITA,1994 Winter,Cross Country Skiing,Gold
M,37.0,187.0,84.0,ITA,1998 Winter,Cross Country Skiing,Silver
M,24.0,192.0,156.0,RUS,2012 Summer,Weightlifting,Bronze
M,23.0,182.0,75.0,ESP,2000 Summer,Football,Silver
M,20.0,184.0,75.0,FRG,1984 Summer,Cycling,Bronze
M,29.0,192.0,82.0,ITA,1976 Summer,Water Polo,Silver
M,18.0,182.0,75.0,HUN,1960 Summer,Football,Bronze
F,29.0,179.0,90.0,ESP,2012 Summer,Handball,Bronze
M,26.0,177.0,67.0,SWE,1948 Summer,Athletics,Bronze
M,20.0,180.0,83.0,ITA,1968 Summer,Rowing,Bronze
M,19.0,165.0,66.0,RUS,2008 Summer,Wrestling,Gold
F,17.0,165.0,57.0,GDR,1980 Winter,Speed Skating,Bronze
F,31.0,175.0,64.0,SUI,2002 Winter,Cross Country Skiing,Bronze
M,39.0,181.0,67.0,SWE,1976 Summer,Sailing,Gold
M,23.0,191.0,79.0,USA,1936 Summer,Athletics,Silver
M,24.0,181.0,87.0,URS,1960 Summer,Wrestling,Bronze
M,30.0,183.0,76.0,BRA,1996 Summer,Football,Bronze
M,20.0,183.0,63.0,CUB,1976 Summer,Boxing,Silver
M,24.0,183.0,63.0,CUB,1980 Summer,Boxing,Gold
M,22.0,177.0,75.0,USA,1928 Summer,Athletics,Gold
F,17.0,170.0,59.0,USA,1952 Summer,Swimming,Bronze
M,23.0,184.0,75.0,ESP,2008 Summer,Hockey,Silver
M,27.0,171.0,71.0,ESP,2008 Summer,Hockey,Silver
F,26.0,171.0,58.0,NZL,2012 Summer,Sailing,Gold
F,30.0,171.0,58.0,NZL,2016 Summer,Sailing,Silver
M,28.0,200.0,130.0,LTU,2000 Summer,Athletics,Gold
M,32.0,200.0,130.0,LTU,2004 Summer,Athletics,Gold
M,36.0,200.0,130.0,LTU,2008 Summer,Athletics,Bronze
M,20.0,168.0,69.0,URS,1976 Winter,Ice Hockey,Gold
M,20.0,176.0,89.0,BUL,1980 Summer,Weightlifting,Silver
M,22.0,180.0,81.0,URS,1960 Winter,Ice Hockey,Bronze
M,26.0,180.0,81.0,URS,1964 Winter,Ice Hockey,Gold
M,30.0,180.0,81.0,URS,1968 Winter,Ice Hockey,Gold
M,26.0,178.0,89.0,URS,1984 Winter,Bobsleigh,Bronze
F,19.0,180.0,83.0,URS,1976 Summer,Rowing,Silver
F,23.0,180.0,83.0,URS,1980 Summer,Rowing,Gold
M,20.0,190.0,98.0,ARM,2012 Summer,Wrestling,Bronze
M,24.0,190.0,98.0,ARM,2016 Summer,Wrestling,Gold
M,30.0,185.0,160.0,URS,1972 Summer,Weightlifting,Gold
M,34.0,185.0,160.0,URS,1976 Summer,Weightlifting,Gold
F,17.0,157.0,50.0,URS,1964 Summer,Diving,Bronze
M,26.0,193.0,96.0,SRB,2012 Summer,Water Polo,Bronze
M,30.0,193.0,96.0,SRB,2016 Summer,Water Polo,Gold
F,22.0,200.0,85.0,BRA,1996 Summer,Basketball,Silver
F,26.0,200.0,85.0,BRA,2000 Summer,Basketball,Bronze
M,21.0,177.0,60.0,BRA,2012 Summer,Football,Silver
F,27.0,172.0,58.0,CAN,1996 Summer,Synchronized Swimming,Silver
M,24.0,188.0,74.0,GBR,1960 Summer,Fencing,Silver
F,23.0,170.0,69.0,CAN,2000 Summer,Rowing,Bronze
M,24.0,170.0,73.0,FRA,1984 Summer,Judo,Bronze
M,28.0,170.0,73.0,FRA,1988 Summer,Judo,Gold
M,18.0,179.0,71.0,BRA,2008 Summer,Football,Bronze
M,22.0,179.0,71.0,BRA,2012 Summer,Football,Silver
M,26.0,157.0,52.0,ROU,1980 Summer,Wrestling,Silver
M,26.0,189.0,81.0,ROU,1972 Summer,Boxing,Silver
M,23.0,184.0,74.0,URS,1976 Summer,Diving,Bronze
M,27.0,184.0,74.0,URS,1980 Summer,Diving,Silver
M,33.0,181.0,88.0,RUS,2000 Summer,Shooting,Bronze
M,21.0,207.0,90.0,NIG,2016 Summer,Taekwondo,Silver
F,30.0,170.0,62.0,URS,1976 Summer,Athletics,Bronze
M,19.0,178.0,69.0,ESP,1992 Summer,Football,Gold
M,19.0,185.0,74.0,USA,1984 Summer,Basketball,Gold
M,33.0,182.0,92.0,SWE,2006 Winter,Ice Hockey,Gold
M,41.0,182.0,92.0,SWE,2014 Winter,Ice Hockey,Silver
M,23.0,183.0,77.0,BRA,1948 Summer,Basketball,Bronze
M,35.0,183.0,77.0,BRA,1960 Summer,Basketball,Bronze
M,27.0,178.0,77.0,SWE,1994 Winter,Ice Hockey,Gold
F,37.0,163.0,56.0,SWE,2012 Summer,Equestrianism,Silver
M,25.0,176.0,69.0,PAK,1984 Summer,Hockey,Gold
F,27.0,170.0,65.0,USA,2016 Summer,Athletics,Silver
